City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,lebu,-37.6167,-73.65,290.05,81,89,3.2,CL,1709073195
83,egilsstadir,65.2653,-14.3948,270.1,68,75,5.14,IS,1709073196
84,beltran,-27.8291,-64.061,297.55,89,100,2.39,AR,1709073197
85,sisimiut,66.9395,-53.6735,258.69,79,84,3.17,GL,1709073198
86,santa vitoria do palmar,-33.5189,-53.3681,295.24,93,42,2.67,BR,1709073199
87,andergrove,-21.0833,149.1833,301.84,80,100,6.97,AU,1709073200
88,sattahip,12.6664,100.9007,299.2,89,20,2.06,TH,1709073201
89,conde,-7.2597,-34.9075,297.85,94,75,2.57,BR,1709073202
90,vicente guerrero,19.1194,-98.1708,300.81,14,0,6.01,MX,1709073102
91,new norfolk,-42.7826,147.0587,292.99,54,100,1.12,AU,1709073204
92,fada,9.5667,8.3,299.32,35,1,0.89,NG,1709073205
93,port mathurin,-19.6833,63.4167,298.65,77,18,5.25,MU,1709073206
94,chester,40.1254,-75.8749,285.29,88,100,4.47,US,1709073207
95,isafjordur,66.0755,-23.124,266.88,85,100,3.61,IS,1709072998
96,antsiranana,-12.2787,49.2917,297.85,92,91,1.22,MG,1709073208
97,ad dabbah,18.05,30.95,292.73,21,3,5.27,SD,1709073209
98,ushuaia,-54.8,-68.3,285.96,82,75,2.57,AR,1709073210
99,vallegrande,-18.4897,-64.1069,289.57,89,79,2.34,BO,1709073211
100,buka,40.8108,69.1986,276.14,85,100,1.42,UZ,1709073212
101,palmital,-22.7889,-50.2175,298.88,75,97,1.38,BR,1709073058
102,contamana,-7.3333,-75.0167,300.99,72,98,1.12,PE,1709073214
103,ust-nera,64.5667,143.2,238.92,99,59,1.87,RU,1709073146
104,stanley,54.868,-1.6985,277.19,86,0,6.69,GB,1709073215
105,andalgala,-27.5819,-66.3165,296.44,69,66,2.21,AR,1709073069
106,bloemfontein,-29.1211,26.214,287.86,82,0,2.06,ZA,1709073059
107,mnichovo hradiste,50.5272,14.9713,279.02,90,100,2.06,CZ,1709073218
108,san patricio,28.017,-97.5169,304.2,61,83,6.25,US,1709073219
109,bredasdorp,-34.5322,20.0403,290.45,74,2,6.65,ZA,1709073221
110,puerto aysen,-45.4,-72.7,286.38,98,94,2.18,CL,1709073221
111,bardai,11.65,7.2333,297.87,19,22,3.31,NG,1709073222
112,constantia,44.1833,28.65,279.65,85,54,3.11,RO,1709073223
113,alice springs,-23.7,133.8833,303.27,51,61,3.09,AU,1709072949
114,stephenville,32.2207,-98.2023,303.59,61,0,4.12,US,1709073225
115,taroa,8.7058,171.2275,300.39,84,56,7.63,MH,1709073226
116,yellowknife,62.456,-114.3525,250.05,81,20,4.12,CA,1709073227
117,nuriootpa,-34.4833,139.0,298.46,48,99,6.55,AU,1709073227
118,takestan,36.0696,49.6959,270.22,88,100,4.23,IR,1709073228
119,el nido,11.1858,119.3956,298.87,77,7,9.84,PH,1709073229
120,taulaga,-11.0553,-171.0883,302.08,71,52,7.93,AS,1709073230
121,tiksi,71.6872,128.8694,253.05,85,81,16.14,RU,1709073231
122,baillif,16.0202,-61.7463,298.87,70,63,4.53,GP,1709073232
123,ji'an,27.1172,114.9793,277.66,93,100,0.88,CN,1709073233
124,georgetown,5.4112,100.3354,301.11,70,20,3.09,MY,1709073234
125,kyakhta,50.3508,106.4494,249.21,95,100,2.12,RU,1709073235
126,salym,60.0625,71.4789,266.92,95,96,3.4,RU,1709073236
127,kaoma,-14.7833,24.8,291.42,98,99,1.24,ZM,1709073237
128,najran,17.4924,44.1277,293.51,69,5,1.48,SA,1709073238
129,lichinga,-13.3128,35.2406,289.83,98,100,2.72,MZ,1709073239
130,villamontes,-21.25,-63.5,305.83,41,80,4.35,BO,1709073240
131,raduzhnyy,62.0961,77.475,269.81,96,100,5.77,RU,1709073240
132,praia da vitoria,38.7333,-27.0667,289.13,77,75,2.72,PT,1709073241
133,nuku'alofa,-21.1333,-175.2,303.34,89,75,2.57,TO,1709073242
134,mumbwa,-14.9783,27.0619,290.33,94,16,1.81,ZM,1709073243
135,gharyan,32.1722,13.0203,286.98,28,42,4.26,LY,1709073244
136,mount pearl,47.5166,-52.7813,273.74,85,75,10.29,CA,1709073245
137,xinyang,32.1228,114.0656,276.32,82,95,1.4,CN,1709073246
138,nejo,9.5,35.5,295.01,17,100,2.86,ET,1709073247
